Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
2946,1,3,1,2022,2,1,33,2838,3,1,17,5,1,1,1,2.0,2,1,3,0,3,0,2,,,,0,0,3,0,1,1,3,1,4,1,1,1,1,1,1,1,2,2,2,3,2,2,1,2,2,1,2,1.0,2,2,2,2,2,2,2,2,2,2,1,2,2,3,0,3,0,12,1,2,41,2,4,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,1.0,0,0,0,0,0,0,0
3416,1,3,1,2021,3,40,25,154,3,1,26,5,1,1,1,1.0,5,1,3,0,3,0,2,,,,0,0,5,0,1,1,5,1,2,1,1,1,1,1,1,1,2,2,2,5,3,2,1,1,1,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,103000,4,1,1,50,1,4,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.4,0,0,0.0,0,0,0,0,0,0,0
2142,1,4,1,2021,3,43,38,61,3,2,17,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,2,4,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1.0,1,2,2,2,2,1,2,2,2,2,2,2,2,4,0,4,35300,1,1,1,56,1,3,0,2,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
7941,1,4,1,2022,2,42,27,317,3,2,18,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,1,2,2,1,1,1.0,1,2,2,2,2,1,2,2,2,2,2,2,2,5,0,5,105100,3,1,1,55,1,4,0,2,0.0,0.0,2.0,1,2.0,3.0,1,0,0,0,0.2,0,0,0.0,0,0,0,0,0,0,0
1193,1,2,1,2022,2,40,18,181,3,1,14,5,1,1,1,1.0,3,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,4,3,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,1,2,2,4,1,3,85000,3,1,2,37,1,4,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,1,0,0.25,0,0,0.0,0,0,0,0,0,0,0
6813,1,3,1,2022,2,40,29,330,3,2,21,5,4,1,1,1.0,3,1,3,0,3,0,2,,,,1,4800,5,0,1,1,2,2,4,2,1,1,1,1,1,3,2,1,2,2,2,2,1,2,2,1,2,1.0,1,2,2,2,2,2,2,2,2,1,2,1,2,6,1,5,93800,2,1,2,37,3,2,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.1666666666666666,0,0,0.0,1,0,0,0,0,0,0
7390,1,1,1,2021,2,41,15,247,1,2,34,1,4,1,1,1.0,1,1,3,0,3,0,2,,,,2,15000,5,0,1,1,3,1,2,1,1,1,1,1,1,1,2,2,2,3,3,2,1,1,2,1,2,1.0,1,2,2,2,2,2,2,1,2,2,1,2,2,4,1,3,65000,4,1,2,34,3,5,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.25,0,0,0.0,0,0,0,0,0,0,0
1090,1,9,1,2022,3,40,22,133,5,1,17,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,2,2,1,1,1,1,1,1,1,2,2,2,4,3,2,1,2,2,1,2,1.0,1,1,2,2,2,1,2,2,2,1,2,1,2,13,1,12,0,12,1,2,75,3,4,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,0.2307692307692307,0,0,0.0,1,0,0,0,0,0,0
3679,1,1,1,2022,2,41,8,65,1,2,34,3,4,1,1,1.0,1,1,3,0,3,0,2,,,,2,27600,3,0,1,1,2,2,4,2,1,1,1,2,2,3,2,1,2,2,2,2,2,2,2,1,2,1.0,2,2,2,2,2,1,2,2,2,2,2,2,2,4,1,3,27600,1,1,2,34,3,3,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,0,1,0,0,0,0,0
1109,1,6,1,2022,3,41,15,233,5,2,15,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,5,1,1,1,1,1,1,1,1,1,2,2,2,5,5,2,1,1,1,1,2,1.0,2,1,2,2,2,1,1,2,2,2,2,1,2,7,0,7,87100,1,1,2,74,3,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0
